ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Year_Dt_Customer,Total_Days_Relationship,Is_Recency_gt_30,Total_Mnt,Total_Mnt_Per_Total_Days_Relationship,Pct_MntFruits,Pct_MntMeatProducts,Pct_MntFishProducts,Pct_MntSweetProducts,Pct_MntWines,Max_Mnt_Type,NumDealsPurchases_Per_Total_Days_Relationship,Total_Purchases,Total_Purchases_Per_Total_Days_Relationship,Pct_NumWebPurchases,Pct_NumCatalogPurchases,Pct_NumStorePurchases,Max_Purchase_Sales_Channel,Pct_NumDealsPurchase,Pct_MntGoldProds
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,1214,True,1529,1.259472817133443,0.05755395683453238,0.3570961412688031,0.11249182472204054,0.05755395683453238,0.41530412034009156,MntWines,0.002471169686985173,22,0.018121911037891267,0.36363636363636365,0.45454545454545453,0.18181818181818182,NumCatalogPurchases,0.13636363636363635,0.05755395683453238
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,664,True,21,0.03162650602409638,0.047619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.5238095238095238,MntWines,0.0030120481927710845,4,0.006024096385542169,0.25,0.25,0.5,NumStorePurchases,0.5,0.2857142857142857
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,863,False,734,0.8505214368482039,0.0667574931880109,0.17302452316076294,0.15122615803814715,0.02861035422343324,0.5803814713896458,MntWines,0.0011587485515643105,20,0.023174971031286212,0.4,0.1,0.5,NumStorePurchases,0.05,0.05722070844686648
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,690,False,48,0.06956521739130435,0.08333333333333333,0.4166666666666667,0.20833333333333334,0.0625,0.22916666666666666,MntMeatProducts,0.002898550724637681,6,0.008695652173913044,0.3333333333333333,0.0,0.6666666666666666,NumStorePurchases,0.3333333333333333,0.10416666666666667
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,712,True,407,0.5716292134831461,0.10565110565110565,0.28992628992628994,0.11302211302211303,0.06633906633906633,0.4250614250614251,MntWines,0.007022471910112359,14,0.019662921348314606,0.35714285714285715,0.21428571428571427,0.42857142857142855,NumStorePurchases,0.35714285714285715,0.036855036855036855
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,844,False,702,0.8317535545023697,0.05982905982905983,0.1396011396011396,0.0,0.05982905982905983,0.7407407407407407,MntWines,0.002369668246445498,20,0.023696682464454975,0.3,0.2,0.5,NumStorePurchases,0.1,0.019943019943019943
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,1144,True,563,0.49213286713286714,0.11545293072824156,0.2912966252220249,0.08880994671403197,0.08703374777975133,0.41740674955595025,MntWines,0.0034965034965034965,17,0.01486013986013986,0.4117647058823529,0.17647058823529413,0.4117647058823529,NumWebPurchases,0.23529411764705882,0.047957371225577264
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,968,True,146,0.15082644628099173,0.0684931506849315,0.3835616438356164,0.02054794520547945,0.00684931506849315,0.5205479452054794,MntWines,0.002066115702479339,8,0.008264462809917356,0.5,0.0,0.5,NumWebPurchases,0.25,0.15753424657534246
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,939,False,44,0.046858359957401494,0.0,0.5454545454545454,0.06818181818181818,0.06818181818181818,0.3181818181818182,MntMeatProducts,0.0010649627263045794,5,0.005324813631522897,0.6,0.0,0.4,NumWebPurchases,0.2,0.045454545454545456
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,659,True,36,0.054628224582701064,0.0,0.16666666666666666,0.027777777777777776,0.027777777777777776,0.7777777777777778,MntWines,0.0015174506828528073,1,0.0015174506828528073,1.0,0.0,0.0,NumWebPurchases,1.0,0.3611111111111111
