ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Year_Dt_Customer,Total_Days_Relationship,Is_Recency_gt_30,Total_Mnt,Total_Mnt_Per_Total_Days_Relationship,Pct_MntFruits,Pct_MntMeatProducts,Pct_MntFishProducts,Pct_MntSweetProducts,Pct_MntWines,Max_Mnt_Type,NumDealsPurchases_Per_Total_Days_Relationship,Total_Purchases,Total_Purchases_Per_Total_Days_Relationship,Pct_NumWebPurchases,Pct_NumCatalogPurchases,Pct_NumStorePurchases,Max_Purchase_Sales_Channel,Pct_NumDealsPurchase,Pct_MntGoldProds,Frequency+Monetary,RFM_Quadrant,RFM_
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,1214,True,1529,1.259472817133443,0.0575539568345323,0.3570961412688031,0.1124918247220405,0.0575539568345323,0.4153041203400915,MntWines,0.0024711696869851,22,0.0181219110378912,0.3636363636363636,0.4545454545454545,0.1818181818181818,NumCatalogPurchases,0.1363636363636363,0.0575539568345323,0.03572972530875003,Reconquistar,Pouco potencial
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,664,True,21,0.0316265060240963,0.0476190476190476,0.2857142857142857,0.0952380952380952,0.0476190476190476,0.5238095238095238,MntWines,0.003012048192771,4,0.0060240963855421,0.25,0.25,0.5,NumStorePurchases,0.5,0.2857142857142857,0.010120481927710742,Fidelizar,Fidelizar
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,863,False,734,0.8505214368482039,0.0667574931880109,0.1730245231607629,0.1512261580381471,0.0286103542234332,0.5803814713896458,MntWines,0.0011587485515643,20,0.0231749710312862,0.4,0.1,0.5,NumStorePurchases,0.05,0.0572207084468664,0.04512050062855191,Manter,Fidelizar
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,690,False,48,0.0695652173913043,0.0833333333333333,0.4166666666666667,0.2083333333333333,0.0625,0.2291666666666666,MntMeatProducts,0.0028985507246376,6,0.008695652173913,0.3333333333333333,0.0,0.6666666666666666,NumStorePurchases,0.3333333333333333,0.1041666666666666,0.015458937198067565,Fidelizar,Fidelizar
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,712,True,407,0.5716292134831461,0.1056511056511056,0.2899262899262899,0.113022113022113,0.0663390663390663,0.4250614250614251,MntWines,0.0070224719101123,14,0.0196629213483146,0.3571428571428571,0.2142857142857142,0.4285714285714285,NumStorePurchases,0.3571428571428571,0.0368550368550368,0.03801809495849901,Reconquistar,Pouco potencial
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,844,False,702,0.8317535545023697,0.0598290598290598,0.1396011396011396,0.0,0.0598290598290598,0.7407407407407407,MntWines,0.0023696682464454,20,0.0236966824644549,0.3,0.2,0.5,NumStorePurchases,0.1,0.0199430199430199,0.0460805293353112,Manter,Fidelizar
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,1144,True,563,0.4921328671328671,0.1154529307282415,0.2912966252220249,0.0888099467140319,0.0870337477797513,0.4174067495559502,MntWines,0.0034965034965034,17,0.0148601398601398,0.4117647058823529,0.1764705882352941,0.4117647058823529,NumWebPurchases,0.2352941176470588,0.0479573712255772,0.028849168073305887,Manter,Fidelizar
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,968,True,146,0.1508264462809917,0.0684931506849315,0.3835616438356164,0.0205479452054794,0.0068493150684931,0.5205479452054794,MntWines,0.0020661157024793,8,0.0082644628099173,0.5,0.0,0.5,NumWebPurchases,0.25,0.1575342465753424,0.01567028013308995,Fidelizar,Fidelizar
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,939,False,44,0.0468583599574014,0.0,0.5454545454545454,0.0681818181818181,0.0681818181818181,0.3181818181818182,MntMeatProducts,0.0010649627263045,5,0.0053248136315228,0.6,0.0,0.4,NumWebPurchases,0.2,0.0454545454545454,0.009562930603551166,Fidelizar,Fidelizar
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,659,True,36,0.054628224582701,0.0,0.1666666666666666,0.0277777777777777,0.0277777777777777,0.7777777777777778,MntWines,0.0015174506828528,1,0.0015174506828528,1.0,0.0,0.0,NumWebPurchases,1.0,0.3611111111111111,0.002952877004470314,Pouco potencial,Pouco potencial
